StockCode,Description,Revenue,Units,Orders,Customers,Revenue_Share_%
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,32873.34000000018,10604.0,820,470,0.30818704597839663
22112,CHOCOLATE HOT WATER BOTTLE,32866.18000000005,6025.0,858,382,0.30811992109089675
85099F,JUMBO BAG STRAWBERRY,32570.469999999947,17273.0,812,315,0.3053476444872324
22469,HEART OF WICKER SMALL,32107.79999999991,17971.0,1201,573,0.30101012050692383
23245,SET OF 3 REGENCY CAKE TINS,31177.94999999992,6357.0,873,472,0.29229279136717085
21931,JUMBO STORAGE BAG SUKI,30770.119999999908,13654.0,1184,333,0.28846939152519036
22727,ALARM CLOCK BAKELIKE RED ,30701.119999999955,7815.0,1051,388,0.28782251760935174
23199,JUMBO BAG APPLES,30475.649999999863,14920.0,978,344,0.2857087399020431
22470,HEART OF WICKER LARGE,30139.410000000295,9901.0,925,485,0.2825564951852105
22355,CHARLOTTE BAG SUKI DESIGN,29277.94999999995,18152.0,882,249,0.27448032122087784
22699,ROSES REGENCY TEACUP AND SAUCER ,29095.27000000042,9877.0,1065,423,0.27276769909123755
23355,HOT WATER BOTTLE KEEP CALM,28842.550000000003,5841.0,782,474,0.2703984530620909
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,28634.9499999999,12602.0,1175,375,0.2684522063240002
22457,NATURAL SLATE HEART CHALKBOARD ,28147.960000000472,9172.0,1249,587,0.26388668272582483
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28092.199999999917,13922.0,933,306,0.2633639336019474
20685,DOORMAT RED RETROSPOT,28082.54000000003,4092.0,696,329,0.26327337125373096
23201,JUMBO BAG ALPHABET,27890.169999999882,13379.0,906,396,0.2614699055263388
22726,ALARM CLOCK BAKELIKE GREEN,27196.529999999966,6430.0,980,322,0.25496704142514226
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,26463.829999999933,9476.0,449,192,0.248097990437674
21915,RED  HARMONICA IN BOX ,26331.57999999997,21933.0,661,349,0.24685814876564943
22666,RECIPE BOX PANTRY YELLOW DESIGN,26240.600000000293,8276.0,1111,471,0.24600521269517367
21175,GIN + TONIC DIET METAL SIGN,25836.569999999796,11727.0,759,330,0.24221743779348115
22629,SPACEBOY LUNCH BOX ,25740.47000000013,14260.0,900,322,0.24131650180345332
22961,JAM MAKING SET PRINTED,25660.980000000185,16412.0,1162,537,0.24057128430243868
48138,DOORMAT UNION FLAG,25609.59999999999,3762.0,616,313,0.24008959760974397
21181,PLEASE ONE PERSON METAL SIGN,25290.58000000009,12305.0,845,361,0.23709879012233934
23173,REGENCY TEAPOT ROSES ,24918.93000000009,2770.0,416,248,0.2336145772118815
21621,VINTAGE UNION JACK BUNTING,24542.82999999999,2789.0,475,267,0.23008864562134324
23203,JUMBO BAG VINTAGE DOILY ,24522.35999999991,11464.0,711,363,0.2298967396929769
22111,SCOTTIE DOG HOT WATER BOTTLE,24509.8400000001,4666.0,771,425,0.22977936488969886
22722,SET OF 6 SPICE TINS PANTRY DESIGN,24483.659999999993,5978.0,834,393,0.22953392780105053
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24438.620000000254,8560.0,732,281,0.22911167850874292
48187,DOORMAT NEW ENGLAND,24292.83999999998,3830.0,600,314,0.2277449932993053
22138,BAKING SET 9 PIECE RETROSPOT ,24239.72000000012,4948.0,934,581,0.2272469941339534
21731,RED TOADSTOOL LED NIGHT LIGHT,23932.979999999974,14009.0,849,266,0.2243713114535973
48185,DOORMAT FAIRY CAKE,23888.810000000005,3617.0,365,143,0.22395721839761773
23344,JUMBO BAG 50'S CHRISTMAS ,23815.74999999997,10306.0,716,391,0.22327228204557098
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,23514.170000000016,4805.0,470,275,0.22044497428414028
22189,CREAM HEART CARD HOLDER,23463.47,8291.0,524,274,0.21996966258076273
21733,RED HANGING HEART T-LIGHT HOLDER,23228.740000000176,7882.0,741,385,0.2177690725189541
21929,JUMBO BAG PINK VINTAGE PAISLEY,23181.13999999993,11007.0,865,308,0.21732282326686575
82482,WOODEN PICTURE FRAME WHITE FINISH,23113.26000000006,9006.0,1100,410,0.2166864493334299
20713,JUMBO BAG OWLS,23030.959999999926,11444.0,657,207,0.2159148881265655
21623,VINTAGE UNION JACK MEMOBOARD,23010.0900000001,3272.0,221,139,0.21571923220448652
22139,RETROSPOT TEA SET CERAMIC 11 PC ,22912.810000000125,4527.0,962,488,0.21480723373299657
22697,GREEN REGENCY TEACUP AND SAUCER,22826.300000000316,7302.0,1013,387,0.21399620384228474
22090,PAPER BUNTING RETROSPOT,22790.960000000177,7564.0,798,325,0.2136648918975624
85066,CREAM SWEETHEART MINI CHEST,22708.949999999975,1793.0,519,289,0.21289604943614077
20727,LUNCH BAG  BLACK SKULL.,22421.21000000004,12240.0,1273,458,0.21019849145724953
15056N,EDWARDIAN PARASOL NATURAL,22176.490000000005,3954.0,456,184,0.20790424530240667
84029E,RED WOOLLY HOTTIE WHITE HEART.,22144.979999999996,4765.0,429,228,0.20760883954750675
48194,DOORMAT HEARTS,22138.569999999985,3419.0,592,286,0.20754874589822359
20712,JUMBO BAG WOODLAND ANIMALS,22092.419999999904,9773.0,863,248,0.20711609037335366
23202,JUMBO BAG VINTAGE LEAF,21852.809999999892,10962.0,879,377,0.2048697503882202
20724,RED RETROSPOT CHARLOTTE BAG,21776.789999999986,17765.0,1032,335,0.2041570640826836
20728,LUNCH BAG CARS BLUE,21750.63000000001,11817.0,1150,479,0.20391181449372223
22630,DOLLY GIRL LUNCH BOX,21635.14000000006,11793.0,850,287,0.20282909755835668
21523,DOORMAT FANCY FONT HOME SWEET HOME,21601.689999999995,3246.0,502,203,0.20251550433393845
21843,RED RETROSPOT CAKE STAND,21365.250000000073,2013.0,539,260,0.20029888304899732
21212,PACK OF 72 RETROSPOT CAKE CASES,21259.10000000019,36419.0,1320,635,0.19930372846687786
21166,COOK WITH WINE METAL SIGN ,20957.639999999876,10364.0,723,287,0.19647754570355827
23206,LUNCH BAG APPLE DESIGN,20911.979999999992,12183.0,1036,401,0.19604948392099109
22659,LUNCH BOX I LOVE LONDON,20818.700000000008,11523.0,707,213,0.1951749853866511
22728,ALARM CLOCK BAKELIKE PINK,20702.14999999998,5364.0,783,291,0.19408233096794003
21479,WHITE SKULL HOT WATER BOTTLE ,20594.45000000002,3918.0,499,252,0.19307264516017422
82494L,WOODEN FRAME ANTIQUE WHITE ,19640.79000000015,6749.0,910,392,0.18413209764453642
84946,ANTIQUE SILVER T-LIGHT GLASS,19411.619999999988,14688.0,689,348,0.1819836324953633
22501,PICNIC BASKET WICKER LARGE,19322.160000000076,1604.0,445,187,0.18114494640100234
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,19130.370000000126,6847.0,581,227,0.17934691816449883
22467,GUMBALL COAT RACK,18890.46999999987,7962.0,681,262,0.1770978594339197
22969,HOMEMADE JAM SCENTED CANDLES,18788.550000000025,12532.0,646,429,0.17614236103533684
22383,LUNCH BAG SUKI DESIGN ,18750.579999999976,10332.0,1084,399,0.17578639288193915
15036,ASSORTED COLOURS SILK FAN,18569.83999999987,23826.0,518,194,0.17409195822181125
20726,LUNCH BAG WOODLAND,18323.379999999943,9933.0,1017,372,0.17178139959430908
22382,LUNCH BAG SPACEBOY DESIGN ,18092.359999999982,10464.0,1157,490,0.16961559072420593
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18069.28000000003,10253.0,262,160,0.16939921608685038
22835,HOT WATER BOTTLE I AM SO POORLY,18055.109999999993,3474.0,657,316,0.1692663725594958
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.450000000004,16244.0,305,167,0.16806956206535073
22865,HAND WARMER OWL DESIGN,17910.030000000108,8498.0,654,375,0.16790624983906308
21485,RETROSPOT HEART HOT WATER BOTTLE,17708.530000000053,3533.0,623,371,0.16601719050512673
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,17655.800000000123,6084.0,879,356,0.16552284758364627
22698,PINK REGENCY TEACUP AND SAUCER,17551.760000000126,5824.0,765,319,0.16454747421837246
22384,LUNCH BAG PINK POLKADOT,17435.18999999994,10515.0,1090,444,0.16345463229997417
23203,JUMBO BAG DOILEY PATTERNS,17272.84999999993,8895.0,514,299,0.16193269735073762
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,17245.92999999991,8414.0,662,232,0.1616803227737173
22077,6 RIBBONS RUSTIC CHARM,17205.369999999988,9183.0,955,413,0.16130007341101613
22385,JUMBO BAG SPACEBOY DESIGN,17081.859999999848,8671.0,686,247,0.16014216910166287
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,17073.64999999997,5737.0,264,145,0.16006520048066344
22197,SMALL POPCORN HOLDER,17055.15000000005,20160.0,589,228,0.15989176327134502
21754,HOME BUILDING BLOCK WORD,17049.920000000056,2780.0,777,360,0.15984273210352135
82583,HOT BATHS METAL SIGN,17047.06000000005,7306.0,609,206,0.15981591964845898
22492,MINI PAINT SET VINTAGE ,16937.81999999995,26633.0,380,213,0.15879179636488905
20719,WOODLAND CHARLOTTE BAG,16759.74999999999,13308.0,833,238,0.15712239291281022
22624,IVORY KITCHEN SCALES,16528.309999999983,1901.0,711,376,0.15495264654930588
22993,SET OF 4 PANTRY JELLY MOULDS,16507.229999999967,12672.0,1073,431,0.15475502188052476
84978,HANGING HEART JAR T-LIGHT HOLDER,16477.529999999966,12512.0,728,304,0.15447658484718532
84078A,SET/4 WHITE RETRO STORAGE CUBES ,16363.300000000043,415.0,155,79,0.15340568039202232
23301,GARDENERS KNEELING PAD KEEP CALM ,16357.04999999995,8825.0,913,405,0.15334708674022443
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16164.040000000028,3323.0,459,211,0.1515376210228904
85152,HAND OVER THE CHOCOLATE   SIGN ,15983.330000000042,8272.0,677,270,0.14984346761229228
23313,VINTAGE CHRISTMAS BUNTING,15833.310000000018,2997.0,401,254,0.14843703246947787
15056BL,EDWARDIAN PARASOL BLACK,15828.840000000018,2844.0,321,142,0.14839512628971263
22379,RECYCLING BAG RETROSPOT ,15636.989999999967,6910.0,748,187,0.14659653555415092
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15240.069999999936,2403.0,543,241,0.14287541679074706
22084,PAPER CHAIN KIT EMPIRE,15122.970000000021,5189.0,436,277,0.14177760613067894
84997D,CHILDRENS CUTLERY POLKADOT PINK,14501.940000000031,3668.0,358,208,0.13595545963859876
22752,SET 7 BABUSHKA NESTING BOXES,14453.46999999998,1790.0,380,188,0.13550105415018204
22866,HAND WARMER SCOTTY DOG DESIGN,14410.620000000037,6632.0,548,329,0.13509933607346222
22847,BREAD BIN DINER STYLE IVORY,14329.540000000028,901.0,375,214,0.1343392123474298
48184,DOORMAT ENGLISH ROSE ,14323.999999999969,2038.0,407,227,0.13428727493447637
23200,JUMBO BAG PEARS,14197.279999999899,7071.0,595,262,0.1330992769255608
22507,MEMO BOARD RETROSPOT  DESIGN,14193.350000000011,2960.0,459,230,0.1330624332373119
22083,PAPER CHAIN KIT RETROSPOT,14159.540000000077,4658.0,610,294,0.1327454650185514
22625,RED KITCHEN SCALES,14141.699999999984,1627.0,546,292,0.1325782152988611
21232,STRAWBERRY CERAMIC TRINKET BOX,14130.07999999997,10483.0,706,296,0.13246927798143995
22867,HAND WARMER BIRD DESIGN,14078.690000000064,6441.0,554,333,0.13198749753890504
21930,JUMBO STORAGE BAG SKULLS,14031.159999999923,6450.0,705,220,0.13154190453571776
23343,JUMBO BAG VINTAGE CHRISTMAS ,13978.949999999963,6081.0,476,286,0.13105243660606658
22622,BOX OF VINTAGE ALPHABET BLOCKS,13931.309999999969,1342.0,267,174,0.13060581235460902
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13841.850000000022,55047.0,535,307,0.12976712626024772
20971,PINK BLUE FELT CRAFT TRINKET BOX,13838.099999999982,11001.0,522,277,0.12973197006916917
22941,CHRISTMAS LIGHTS 10 REINDEER,13812.91999999999,1672.0,311,205,0.1294959079648094
AMAZONFEE,AMAZON FEE,13761.09,2.0,2,0,0.12901000252918718
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13746.109999999988,1811.0,382,172,0.12886956526456
23077,DOUGHNUT LIP GLOSS ,13720.769999999991,10415.0,344,217,0.1286320031627142
22551,PLASTERS IN TIN SPACEBOY,13615.309999999952,8082.0,673,339,0.12764331731975168
21524,DOORMAT SPOTTY HOME SWEET HOME,13612.409999999958,1757.0,480,251,0.1276161298653179
23356,LOVE HOT WATER BOTTLE,13494.970000000041,2386.0,476,316,0.126515131710592
23207,LUNCH BAG ALPHABET DESIGN,13360.199999999944,7851.0,740,377,0.12525166507816166
22558,CLOTHES PEGS RETROSPOT PACK 24 ,13346.039999999963,8689.0,772,363,0.1251189153006505
22554,PLASTERS IN TIN WOODLAND ANIMALS,13344.769999999944,7813.0,704,351,0.12510700907060518
23108,SET OF 10 LED DOLLY LIGHTS,13303.019999999997,2221.0,372,271,0.1247156034766016
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13284.49,2845.0,405,195,0.12454188501775383
22113,GREY HEART HOT WATER BOTTLE,12805.330000000005,3231.0,561,337,0.12004976754654445
22499,WOODEN UNION JACK BUNTING,12792.250000000025,2091.0,407,217,0.11992714275206384
22427,ENAMEL FLOWER JUG CREAM,12671.060000000043,2110.0,506,311,0.11879098840625911
20750,RED RETROSPOT MINI CASES,12642.929999999962,1748.0,385,235,0.11852727009825034
20749,ASSORTED COLOUR MINI CASES,12614.169999999966,1770.0,383,239,0.1182576455501412
21755,LOVE BUILDING BLOCK WORD,12572.710000000015,2034.0,629,337,0.11786895870158098
22607,WOODEN ROUNDERS GARDEN SET ,12571.369999999984,1331.0,358,224,0.11785639622263543
20723,STRAWBERRY CHARLOTTE BAG,12552.399999999998,9798.0,722,230,0.11767855277070123
21790,VINTAGE SNAP CARDS,12515.960000000061,14528.0,926,449,0.11733692834326451
22188,BLACK HEART CARD HOLDER,12487.170000000011,4871.0,189,123,0.11706702254562626
22568,FELTCRAFT CUSHION OWL,12440.139999999994,3380.0,470,244,0.11662611703458388
22424,ENAMEL BREAD BIN CREAM,12383.829999999976,875.0,454,189,0.11609821166935332
22149,FELTCRAFT 6 FLOWER FRIENDS,12373.88000000005,6078.0,547,337,0.11600493057569315
23174,REGENCY SUGAR BOWL GREEN,12350.730000000032,3057.0,322,190,0.11578789968943683
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12245.020000000015,24854.0,869,410,0.11479687010040264
48188,DOORMAT WELCOME PUPPIES,12114.969999999994,2065.0,287,163,0.1135776533938101
47590B,PINK HAPPY BIRTHDAY BUNTING,12071.920000000035,2327.0,393,238,0.11317406032023263
22273,FELTCRAFT DOLL MOLLY,12016.340000000042,4514.0,331,211,0.11265299869353217
22191,IVORY DINER WALL CLOCK,11971.149999999989,1452.0,415,239,0.1122293431535785
22158,3 HEARTS HANGING DECORATION RUSTIC,11944.88000000003,3463.0,303,196,0.11198306231634568
82486,WOOD S/3 CABINET ANT WHITE FINISH,11937.67999999995,1408.0,403,183,0.11191556242947476
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11928.449999999992,3040.0,477,186,0.11182903132450131
22087,PAPER BUNTING WHITE LACE,11893.230000000003,4089.0,326,155,0.11149884437789488
22193,RED DINER WALL CLOCK,11882.56999999999,1403.0,460,206,0.11139890704538977
23300,GARDENERS KNEELING PAD CUP OF TEA ,11815.689999999991,6827.0,758,351,0.11077190809624024
22502,PICNIC BASKET WICKER SMALL,11807.120000000048,1879.0,461,175,0.1106915644808967
21936,RED RETROSPOT PICNIC BAG,11671.090000000035,3987.0,531,223,0.10941628536826485
23581,JUMBO BAG PAISLEY PARK,11613.029999999944,5035.0,338,230,0.10887197378053044
22692,DOORMAT WELCOME TO OUR HOME,11555.559999999976,1524.0,443,231,0.10833319343352679
21217,RED RETROSPOT ROUND CAKE TINS,11532.390000000012,1089.0,344,167,0.10811597504758524
22730,ALARM CLOCK BAKELIKE IVORY,11479.65,2892.0,570,241,0.10762153837626116
21481,FAWN BLUE HOT WATER BOTTLE,11466.369999999992,3313.0,490,253,0.10749703858492278
22356,CHARLOTTE BAG PINK POLKADOT,11420.289999999999,9719.0,742,220,0.1070650393089538
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11407.560000000014,2133.0,430,150,0.10694569575897378
22041,"RECORD FRAME 7"" SINGLE SIZE ",11354.560000000001,4374.0,361,73,0.10644882159173495
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11338.270000000006,978.0,290,179,0.10629610309769125
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,11319.36000000004,13210.0,986,427,0.10611882214481452
47566B,TEA TIME PARTY BUNTING,11290.120000000003,2382.0,365,192,0.10584469760424699
22605,WOODEN CROQUET GARDEN SET,11276.209999999997,782.0,299,181,0.1057142915728075
22570,FELTCRAFT CUSHION RABBIT,11227.470000000003,3092.0,386,202,0.1052573548386337
23170,REGENCY TEA PLATE ROSES ,11117.050000000007,6869.0,445,224,0.10422216907360546
22413,METAL SIGN TAKE IT OR LEAVE IT ,11104.789999999972,3777.0,412,228,0.10410723176624011
22662,LUNCH BAG DOLLY GIRL DESIGN,11090.579999999956,6724.0,682,310,0.10397401323951425
B,Adjust bad debt,11062.06,1.0,1,0,0.10370663868763451
20711,JUMBO BAG TOYS ,11014.619999999975,5007.0,522,152,0.10326188943303422
85014B,RED RETROSPOT UMBRELLA,10981.950000000012,1915.0,350,210,0.10295560869636117
22988,SOLDIERS EGG CUP ,10938.309999999985,9137.0,418,197,0.10254648438205342
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.609999999991,1359.0,261,170,0.1022867973172891
23209,LUNCH BAG VINTAGE DOILY ,10820.09999999997,6562.0,601,319,0.10143826748942521
22617,BAKING SET SPACEBOY DESIGN,10745.050000000041,2209.0,464,296,0.1007346749186473
22846,BREAD BIN DINER STYLE RED ,10676.620000000012,665.0,278,158,0.10009314474385184
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,10621.60000000005,3265.0,422,278,0.09957733310835268
21791,VINTAGE HEADS AND TAILS CARD GAME ,10535.64999999999,7889.0,607,342,0.09877155320883955
21891,TRADITIONAL WOODEN SKIPPING ROPE,10525.999999999964,8145.0,425,264,0.0986810846104647
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,10518.249999999953,16449.0,621,318,0.09860842848223629
23209,LUNCH BAG DOILEY PATTERN ,10510.439999999993,6556.0,492,290,0.09853520985495114
47590A,BLUE HAPPY BIRTHDAY BUNTING,10502.65000000003,1992.0,390,228,0.09846217872735168
23208,LUNCH BAG VINTAGE LEAF DESIGN,10498.009999999966,6342.0,668,305,0.09841867880025697
22992,REVOLVER WOODEN RULER ,10379.83999999999,5236.0,348,217,0.09731083690700061
22169,FAMILY ALBUM WHITE PICTURE FRAME,10354.260000000004,1198.0,372,165,0.09707102480892592
21914,BLUE HARMONICA IN BOX ,10343.559999999994,7879.0,603,306,0.09697071247704933
84997B,CHILDRENS CUTLERY RETROSPOT RED ,10316.860000000013,2634.0,262,157,0.09672040039657265
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,10297.269999999991,8706.0,347,177,0.09653674445437986
23582,VINTAGE DOILY JUMBO BAG RED ,10233.45,4815.0,259,186,0.09593843295715025
22970,LONDON BUS COFFEE MUG,10224.749999999989,4367.0,317,180,0.09585687059384869
82600,NO SINGING METAL SIGN,10195.860000000011,4789.0,496,207,0.09558602729778237
84997C,CHILDRENS CUTLERY POLKADOT BLUE,10154.910000000009,2583.0,233,150,0.09520212169120829
22569,FELTCRAFT CUSHION BUTTERFLY,10133.329999999998,2765.0,348,192,0.09499980953028345
21218,RED SPOTTY BISCUIT TIN,10116.490000000014,2433.0,394,130,0.09484193479488172
22556,PLASTERS IN TIN CIRCUS PARADE ,10070.109999999979,6118.0,571,305,0.09440712302362607
22633,HAND WARMER UNION JACK,10057.320000000025,4867.0,479,300,0.0942872169745891
22621,TRADITIONAL KNITTING NANCY,10056.950000000008,6150.0,609,366,0.09428374823040254
23171,REGENCY TEA PLATE GREEN ,10051.990000000016,6247.0,381,195,0.0942372483083365
48173C,DOORMAT BLACK FLOCK ,10025.109999999997,1802.0,188,105,0.09398524873068771
20679,EDWARDIAN PARASOL RED,10021.419999999991,1710.0,326,141,0.0939506550386667
23076,ICE CREAM SUNDAE LIP GLOSS,9965.759999999995,8100.0,277,202,0.09342884341322322
22791,T-LIGHT GLASS FLUTED ANTIQUE,9963.879999999988,8027.0,345,184,0.09341121844276261
22690,DOORMAT HOME SWEET HOME BLUE ,9959.59999999999,1621.0,285,198,0.09337109351001203
22619,SET OF 6 SOLDIER SKITTLES,9921.289999999992,2487.0,443,250,0.09301193786195705
22654,DELUXE SEWING KIT ,9898.950000000024,1412.0,328,157,0.09280250071297409
22555,PLASTERS IN TIN STRONGMAN,9863.279999999988,6023.0,515,294,0.09246809502343782
22766,PHOTO FRAME CORNICE,9843.590000000011,3297.0,504,278,0.09228350158281672
21314,SMALL GLASS HEART TRINKET POT,9811.579999999996,4252.0,541,215,0.09198340833577297
22838,3 TIER CAKE TIN RED AND CREAM,9765.109999999993,689.0,168,115,0.09154775281593175
23240,SET OF 4 KNICK KNACK TINS DOILY ,9759.67999999996,2360.0,353,230,0.0914968466512502
22561,WOODEN SCHOOL COLOURING SET,9749.820000000007,5888.0,433,288,0.09140440930617566
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,9748.129999999994,3938.0,573,233,0.09138856558272962
22776,SWEETHEART CAKESTAND 3 TIER,9697.249999999993,959.0,377,252,0.09091156638218045
22844,VINTAGE CREAM DOG FOOD CONTAINER,9686.819999999994,1006.0,416,176,0.0908137852960616
22144,CHRISTMAS CRAFT LITTLE FRIENDS,9681.180000000033,4082.0,544,319,0.09076091038468034
22560,TRADITIONAL MODELLING CLAY,9602.320000000002,8168.0,389,229,0.09002159912376599
23175,REGENCY MILK JUG PINK ,9600.149999999981,3164.0,329,206,0.09000125540786187
22978,PANTRY ROLLING PIN,9568.729999999987,2465.0,238,153,0.08970669340154797
22456,NATURAL SLATE CHALKBOARD LARGE ,9554.470000000016,1731.0,476,220,0.08957300612560816
35970,ZINC FOLKART SLEIGH BELLS,9546.530000000004,5070.0,456,270,0.08949856875036512
22952,60 CAKE CASES VINTAGE CHRISTMAS,9511.519999999986,16055.0,618,342,0.08917035055045877
21174,POTTERING IN THE SHED METAL SIGN,9413.819999999992,4179.0,538,225,0.08825441458556786
84375,SET OF 20 KIDS COOKIE CUTTERS,9404.150000000016,4321.0,517,290,0.08816375848750772
85150,LADIES & GENTLEMEN METAL SIGN,9388.529999999997,4039.0,478,196,0.08801732123293646
21155,RED RETROSPOT PEG BAG,9301.40000000001,3157.0,485,205,0.08720047885196472
23319,BOX OF 6 MINI 50'S CRACKERS,9266.839999999955,3739.0,403,300,0.0868764793949874
22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,9264.909999999994,2375.0,449,275,0.08685838567531286
22966,GINGERBREAD MAN COOKIE CUTTER,9212.14999999999,7448.0,670,388,0.08636376150430311
84991,60 TEATIME FAIRY CAKE CASES,9183.719999999981,18214.0,828,414,0.08609723070100876
23318,BOX OF 6 MINI VINTAGE CRACKERS,9167.389999999965,3811.0,376,270,0.08594413720759336
20972,PINK CREAM FELT CRAFT TRINKET BOX ,9159.309999999992,7362.0,616,312,0.08586838733455043
23080,RED METAL BOX TOP SECRET,9158.87,1079.0,257,148,0.08586426234146399
48116,DOORMAT MULTICOLOUR STRIPE,9088.630000000001,1492.0,201,88,0.0852057634451084
22729,ALARM CLOCK BAKELIKE ORANGE,9080.200000000006,2326.0,445,179,0.08512673232756464
22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,9050.440000000004,6635.0,441,168,0.08484773279516793
22759,SET OF 3 NOTEBOOKS IN PARCEL,9043.94,5445.0,422,253,0.084786795397299
22989,SET 2 PANTRY DESIGN TEA TOWELS,9012.269999999999,2815.0,372,241,0.08448988964491314
23439,HAND WARMER RED LOVE HEART,8941.610000000006,4027.0,397,268,0.08382745325515685
23322,LARGE WHITE HEART OF WICKER,8925.409999999982,3085.0,562,350,0.08367557850969874
82582,AREA PATROLLED METAL SIGN,8862.99,4367.0,437,176,0.08309039199047175
21889,WOODEN BOX OF DOMINOES,8862.289999999997,6402.0,587,336,0.08308382950147045
22632,HAND WARMER RED RETROSPOT,8770.429999999997,4354.0,374,258,0.0822226434448186
84945,MULTI COLOUR SILVER T-LIGHT HOLDER,8754.629999999985,10557.0,347,208,0.08207451869307562
22947,WOODEN ADVENT CALENDAR RED,8714.23999999999,746.0,137,81,0.08169586307770264
22147,FELTCRAFT BUTTERFLY HEARTS,8626.93999999999,6230.0,481,287,0.08087742694940188
22652,TRAVEL SEWING KIT,8620.31999999999,5096.0,467,263,0.08081536455341849
22795,SWEETHEART RECIPE BOOK STAND,8578.000000000005,1212.0,368,170,0.08041861521837068
23082,SET 6 PAPER TABLE LANTERN HEARTS ,8577.509999999998,2333.0,297,205,0.08041402147606971
71459,HANGING JAM JAR T-LIGHT HOLDER,8560.839999999976,10792.0,348,193,0.08025774048799651
23078,ICE CREAM PEN LIP GLOSS ,8553.34,6831.0,257,159,0.0801874281058403
